Date,TATAMOTORS.NS
2021-03-25,285.54998779296875
2021-03-26,296.3999938964844
2021-03-30,297.04998779296875
2021-03-31,301.79998779296875
2021-04-01,307.75
2021-04-05,305.04998779296875
2021-04-06,307.75
2021-04-07,307.79998779296875
2021-04-08,313.95001220703125
2021-04-09,318.20001220703125
2021-04-12,286.54998779296875
2021-04-13,302.8500061035156
2021-04-15,303.5
2021-04-16,310.0
2021-04-19,301.3999938964844
2021-04-20,298.04998779296875
2021-04-22,294.54998779296875
2021-04-23,294.0
2021-04-26,295.3999938964844
2021-04-27,301.5
2021-04-28,305.8999938964844
2021-04-29,301.8999938964844
2021-04-30,293.8500061035156
2021-05-03,293.0
2021-05-04,289.45001220703125
2021-05-05,291.5
2021-05-06,301.25
2021-05-07,302.75
2021-05-10,314.8500061035156
